language_name,language_code,modern_language,is_official,script_name,script_code,script_modern,is_rtl
Yiddish,yi,True,False,Hebrew,Hebr,True,True
Yoruba,yo,True,True,Latin,Latn,True,False
Yucateco,yua,True,False,Latin,Latn,True,False
Zaghawa,zag,True,False,Latin,Latn,True,False
Zapotec,zap,True,False,Latin,Latn,True,False
Zarma,dje,True,False,Latin,Latn,True,False
Zaza,zza,True,False,Latin,Latn,True,False
Zeelandic,zea,True,False,Latin,Latn,True,False
Zenaga,zen,True,False,Tifinagh,Tfng,True,True
Zhuang,za,True,False,Latin,Latn,True,False
Zhuang,za,True,False,Simplified,Hans,True,False
Zoroastrian Dari,gbz,True,False,Arabic,Arab,True,True
Zulu,zu,True,False,Latin,Latn,True,False
Zuni,zun,True,False,Latin,Latn,True,False
